1231.56 0
1234.68 2
1237.82 1
1240.94 2
1244.06 7
1247.18 10
1250.32 15
1253.44 20
1256.56 28
1259.68 65
1262.82 96
1265.94 123
1269.06 176
1272.18 219
1275.32 331
1278.44 454
1281.56 567
1284.68 735
1287.82 879
1290.94 1097
1294.06 1264
1297.18 1513
1300.32 1721
1303.44 1934
1306.56 2097
1309.68 2395
1312.82 2514
1315.94 2628
1319.06 2788
1322.18 2801
1325.32 2665
1328.44 2724
1331.56 2630
1334.68 2428
1337.82 2409
1340.94 2170
1344.06 1978
1347.18 1783
1350.32 1599
1353.44 1304
1356.56 1136
1359.68 1007
1362.82 786
1365.94 687
1369.06 499
1372.18 401
1375.32 305
1378.44 232
1381.56 219
1384.68 154
1387.82 117
1390.94 87
1394.06 66
1397.18 38
1400.32 31
1403.44 30
1406.56 14
1409.68 2
1412.82 4
1415.94 3
1419.06 5
1422.18 2
1425.32 1
1428.44 1
