452.344 0
457.031 0
461.719 0
466.406 0
471.094 0
475.781 0
480.469 0
485.156 0
489.844 0
494.531 0
499.219 0
503.906 1
508.594 0
513.282 1
517.968 0
522.656 0
527.344 1
532.032 3
536.718 3
541.406 5
546.094 16
550.782 34
555.468 55
560.156 82
564.844 128
569.532 224
574.218 310
578.906 447
583.594 663
588.282 883
592.968 1238
597.656 1381
602.344 1843
607.032 2057
611.718 2403
616.406 2701
621.094 2932
625.782 2948
630.468 3016
635.156 3035
639.844 2787
644.532 2575
649.218 2297
653.906 2080
658.594 1745
663.282 1446
667.968 1187
672.656 964
677.344 750
682.032 556
686.718 427
691.406 246
696.094 194
700.782 118
705.468 83
710.156 52
714.844 32
719.532 24
724.218 11
728.906 7
733.594 4
738.282 2
742.968 0
747.656 1
